3,0,2,29,40,150,21,150,73,9,24,150,26,100,150,13,16,77,0,5,27,36,19,23,47,69,150,31,27,47,150,0,48,150,50,150,33,0,21,150,47,150,0,4,77,0,0,77,
77,150,80,150,10,150,55,150,58,28,150,150,132,63,93,150,59,49,15,11,15,7,117,150,150,150,73,43,150,17,58,0,31,150,150,55,0,0,48,14,55,133,17,150,150,6,0,150,
8,1,22,25,0,150,150,35,32,22,4,76,0,16,31,32,0,150,29,41,28,26,12,31,71,64,52,19,69,44,0,0,68,150,67,52,0,54,44,150,0,150,171,82,47,150,14,130,
150,43,48,82,150,59,51,150,150,13,35,150,150,150,68,150,5,3,150,62,150,150,37,22,150,150,7,150,43,3,87,150,0,63,150,40,57,118,104,150,141,45,150,34,34,22,20,150,
32,150,0,3,64,78,150,0,31,54,20,150,63,14,44,42,150,80,150,20,16,81,150,0,141,150,49,150,150,0,18,47,12,30,10,0,71,8,44,32,60,74,87,0,150,29,38,37,
150,37,44,46,51,60,0,150,0,0,125,26,18,38,29,20,33,150,150,35,48,0,59,150,14,150,17,150,0,150,9,11,14,51,150,0,77,20,21,150,49,102,44,52,58,150,150,150,
150,64,13,65,97,150,136,22,0,150,0,150,9,85,45,24,38,69,24,44,0,130,150,150,118,4,150,57,42,0,150,0,26,63,39,150,68,45,150,150,150,22,59,150,119,16,150,150,
8,75,41,150,85,24,0,46,26,150,26,0,150,58,0,46,49,150,69,10,20,55,150,78,66,150,9,21,8,0,57,9,150,73,150,43,44,150,171,48,0,29,38,0,60,136,0,150,
46,150,57,59,16,150,150,74,28,16,37,80,57,0,150,33,150,48,22,150,34,46,0,18,0,49,0,0,59,61,31,57,15,16,150,114,34,0,150,150,150,18,69,0,4,28,22,7,
105,0,53,104,45,17,62,150,150,36,87,8,72,0,0,66,5,45,38,0,87,150,33,17,0,1,150,150,9,0,150,59,50,9,40,4,150,23,48,34,11,150,150,150,39,38,60,0,
45,150,63,150,52,9,0,150,150,150,24,84,27,11,150,13,33,68,0,9,150,55,49,24,0,44,0,9,37,16,36,50,150,84,75,34,89,64,30,22,52,10,54,24,4,36,20,6,
