16,48,48,14,10,150,12,5,10,49,36,10,24,30,49,48,6,36,44,18,49,48,6,45,48,48,40,8,11,4,16,49,49,48,48,150,49,16,48,49,26,5,32,3,48,48,12,49,48,48,48,49,48,48,12,49,4,48,3,4,26,150,10,8,12,48,48,10,49,8,27,48,48,5,48,48,6,3,150,6,4,48,2,4,26,5,49,15,150,150,20,10,8,7,4,48,
150,3,150,49,48,17,49,49,48,49,48,17,6,48,13,20,48,4,48,150,49,48,48,48,48,48,22,48,48,48,16,3,16,16,12,150,10,18,8,6,6,7,49,49,49,30,24,5,150,5,11,48,26,150,49,150,48,5,49,11,48,12,48,5,15,48,48,9,48,12,8,11,26,12,14,48,48,12,49,13,49,12,48,16,32,150,48,150,48,49,48,12,48,49,48,12,
49,150,49,13,48,6,32,48,48,7,5,49,6,6,49,8,150,12,6,48,48,9,48,150,10,49,18,16,49,49,6,49,48,16,48,48,48,14,5,48,48,34,150,48,48,11,49,4,10,14,10,49,24,150,11,150,48,21,26,8,36,150,48,48,12,49,48,46,48,150,7,36,49,23,10,7,48,7,13,48,49,48,48,14,48,14,49,4,48,22,150,10,49,150,150,49,
4,48,150,49,8,8,10,26,16,20,18,49,9,49,15,150,4,13,48,48,18,18,48,49,150,48,150,4,150,14,49,49,22,49,10,34,41,36,48,14,14,11,48,150,48,12,49,48,49,7,48,48,48,10,10,16,16,49,14,49,34,48,49,32,24,7,35,4,150,6,34,42,48,49,6,8,28,150,48,48,48,9,49,48,3,10,16,48,5,48,49,150,49,48,150,48,
150,48,48,48,12,20,49,150,14,48,6,49,10,48,48,48,48,48,49,2,48,6,4,16,49,20,18,32,8,10,48,38,49,49,49,21,48,8,49,20,48,6,11,47,49,150,48,49,11,48,49,36,10,11,49,49,8,14,12,4,20,32,4,15,48,48,48,12,49,38,48,10,32,28,49,12,150,12,36,150,48,48,49,7,29,18,48,18,49,48,20,13,12,150,150,48,
12,48,18,6,48,3,48,48,14,48,150,48,48,17,48,49,32,150,46,49,48,48,28,14,150,48,34,48,48,10,5,36,49,48,38,150,8,16,150,48,21,10,9,48,48,26,48,10,18,49,10,18,48,13,48,11,48,48,17,48,2,49,48,48,150,6,48,4,32,12,48,48,7,150,28,49,20,48,42,9,7,48,48,48,48,48,6,48,49,48,20,2,22,48,150,8,
48,8,6,49,18,150,32,11,38,48,5,49,12,49,48,150,48,18,24,49,48,48,48,48,48,150,14,49,28,150,10,49,49,150,5,20,150,49,48,8,18,48,48,3,6,16,48,26,14,48,9,48,150,150,48,30,150,48,48,48,49,26,48,6,2,48,48,48,48,48,12,48,49,9,48,48,48,48,48,48,12,48,11,14,48,16,49,49,150,48,49,48,49,6,8,48,
150,49,10,13,48,5,32,49,49,49,18,48,12,48,48,49,7,48,49,150,8,48,4,48,48,48,30,12,48,48,49,150,12,48,49,10,48,48,150,150,46,48,48,48,48,9,3,48,6,49,32,150,48,14,5,150,150,8,14,150,8,49,150,150,48,21,48,48,6,35,48,150,150,6,150,48,9,8,48,48,150,48,48,48,5,9,49,48,18,23,6,48,22,12,49,48,
48,24,18,28,34,48,48,26,29,49,49,16,15,36,18,48,34,48,7,8,8,5,48,150,150,49,150,150,34,150,22,150,49,48,5,48,20,42,48,43,7,150,36,48,49,8,22,150,48,26,150,48,49,48,10,10,48,48,48,48,150,150,150,48,8,16,6,49,36,17,49,33,30,38,48,6,150,17,150,48,49,9,150,48,38,12,5,150,150,48,22,48,49,48,7,150,
8,49,48,48,49,6,48,150,49,29,150,48,48,150,150,150,36,14,150,48,49,15,150,9,26,16,5,49,47,49,48,150,49,49,48,49,150,48,48,49,48,16,49,32,49,150,28,49,26,10,18,150,48,49,150,10,49,48,25,48,48,150,16,150,38,48,150,48,8,5,6,28,16,3,150,9,8,48,150,49,150,44,48,49,8,4,48,49,48,25,48,28,150,49,150,5,
14,36,150,8,150,29,49,17,16,150,49,150,8,16,18,30,150,49,7,150,48,150,49,49,48,48,150,18,49,49,150,16,5,32,48,150,5,48,41,48,48,150,48,25,18,4,48,150,8,49,150,12,150,150,11,150,12,48,150,10,48,27,16,49,11,49,150,49,24,49,48,42,30,48,150,18,49,48,48,150,49,48,48,150,48,150,48,48,16,150,5,42,48,49,44,150,
150,48,22,48,150,150,48,8,14,150,48,150,48,6,49,8,48,150,48,5,49,24,150,150,15,49,48,48,11,48,20,16,48,10,49,49,150,5,48,49,48,150,49,21,150,48,49,22,6,48,48,150,8,150,16,150,6,48,48,48,49,21,150,40,48,150,5,13,48,6,48,45,49,28,48,18,150,150,150,16,48,150,14,8,150,48,16,7,20,48,150,3,48,48,150,49,
8,48,14,12,14,48,48,48,10,40,49,49,48,49,9,19,150,49,48,150,48,49,150,48,150,48,14,30,41,49,26,10,150,48,49,32,48,9,48,150,28,150,13,150,20,9,5,5,18,45,150,46,22,14,150,48,5,16,150,12,22,48,22,150,48,12,48,48,32,48,48,150,24,48,29,20,48,49,150,48,150,19,150,49,150,8,48,48,150,150,48,150,49,44,8,12,
18,42,7,19,20,150,150,48,27,7,22,150,150,48,48,34,150,49,48,48,49,49,49,48,14,6,48,18,16,49,150,48,48,5,15,150,150,15,150,4,46,49,48,48,45,48,48,9,9,48,10,150,48,150,16,19,6,48,48,48,150,150,49,48,48,16,20,150,150,150,16,38,6,10,28,36,48,48,4,48,49,23,8,49,150,48,48,48,150,33,150,49,16,150,18,12,
