AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
16,1,27,26,25,27,26,25,26,25,25,26,25,1,1.0,1,20,45
17,1,45,45,43,45,44,43,44,43,42,44,42,2,2.0,2,8,40
18,1,35,33,31,33,31,29,32,30,28,31,28,3,3.0,3,13,36
19,1,31,30,28,29,28,26,27,25,24,28,24,4,4.0,4,12,33
20,1,34,36,38,35,37,39,36,38,40,37,34,3,3.0,3,32,11
21,1,27,27,27,26,26,26,25,25,25,26,25,1,1.0,1,43,27
22,1,25,26,27,27,28,29,29,30,31,28,29,-1,0.0,0,37,20
23,1,23,24,25,21,22,23,21,22,23,22,24,-2,0.0,0,36,27
24,1,31,31,30,29,29,28,27,27,26,29,27,2,2.0,2,6,30
25,1,42,42,42,40,40,40,38,38,38,40,38,2,2.0,2,41,35
26,1,21,22,23,23,24,25,24,25,26,24,21,3,3.0,3,36,22
27,1,49,49,49,49,49,49,49,49,49,49,49,0,0.0,0,1,44
28,1,30,30,30,28,28,28,27,27,26,28,28,0,0.0,0,2,29
29,1,28,28,28,27,27,27,26,26,26,27,26,1,1.0,1,1,28
30,1,25,25,26,25,25,26,25,25,26,25,25,0,0.0,0,23,47
31,1,0,30,30,0,32,32,0,34,34,32,34,-2,0.0,0,0,19
32,1,26,27,28,28,29,30,30,31,32,29,26,3,3.0,3,36,19
33,1,27,26,25,25,25,24,24,23,22,25,24,1,1.0,1,7,28
34,1,46,47,48,46,47,48,46,47,48,47,47,0,0.0,0,37,4
35,1,21,20,21,22,21,22,23,22,23,21,22,-1,0.0,0,22,11
36,1,33,34,35,35,36,37,37,38,39,36,38,-2,0.0,0,35,15
37,1,17,19,22,15,17,19,13,15,17,17,17,0,0.0,0,28,32
38,1,46,47,48,47,47,48,47,48,48,47,47,0,0.0,0,38,6
39,1,26,27,29,26,27,29,26,27,28,27,26,1,1.0,1,25,48
40,1,49,49,49,49,49,49,49,49,49,49,49,0,0.0,0,3,1
41,1,43,44,45,43,45,45,44,45,46,45,45,0,0.0,0,36,9
42,1,41,41,42,39,39,40,37,37,38,39,37,2,2.0,2,39,35
43,1,24,24,25,23,23,24,22,23,23,23,23,0,0.0,0,23,41
44,1,26,26,26,27,27,27,28,28,28,27,26,1,1.0,1,1,22
45,1,49,49,49,49,49,49,49,49,49,49,49,0,0.0,0,2,45
46,1,48,47,46,47,47,46,47,46,45,47,46,1,1.0,1,6,42
47,1,24,22,19,26,24,22,28,26,24,24,19,5,5.0,5,14,17
48,1,28,28,29,27,27,27,26,26,26,27,27,0,0.0,0,44,28
49,1,47,47,47,46,46,46,45,45,45,46,46,0,0.0,0,1,39
50,1,31,30,29,33,32,31,35,34,33,32,29,3,3.0,3,9,17
51,1,25,24,22,28,26,24,30,28,26,26,22,4,4.0,4,13,17
52,1,41,41,40,43,42,41,44,43,43,42,41,1,1.0,1,6,13
53,1,46,46,46,45,45,45,44,44,44,45,44,1,1.0,1,45,38
54,1,35,33,31,37,35,33,38,36,34,35,33,2,2.0,2,12,13
55,1,39,39,39,40,41,41,42,42,42,41,39,2,2.0,2,44,15
56,1,45,44,44,43,43,43,42,42,41,43,43,0,0.0,0,4,37
57,1,48,48,48,47,47,47,46,46,46,47,46,1,1.0,1,1,40
58,1,4,4,4,6,6,6,8,8,8,6,4,2,2.0,2,22,20
59,1,40,38,36,40,38,36,40,38,36,38,36,2,2.0,2,13,44
60,1,38,36,34,39,37,34,39,37,34,37,34,3,3.0,3,14,4
61,1,10,12,14,10,12,14,11,13,15,12,10,2,2.0,2,30,24
62,1,35,37,39,34,36,38,33,35,37,36,33,3,3.0,3,32,38
63,1,46,45,44,46,45,44,46,45,44,45,46,-1,0.0,0,9,46
64,1,27,27,27,26,26,26,25,25,25,26,26,0,0.0,0,44,27
65,1,31,30,28,33,32,30,35,33,31,32,28,4,4.0,4,12,15
66,1,24,22,22,23,21,21,21,20,19,21,19,2,2.0,2,20,38
67,1,44,42,41,44,42,40,44,42,40,42,40,2,2.0,2,11,46
68,1,46,46,46,45,45,45,44,44,43,45,44,1,1.0,1,2,38
69,1,32,32,33,30,30,30,29,29,29,30,30,0,0.0,0,46,30
70,1,29,27,25,31,29,28,33,31,30,29,31,-2,0.0,0,11,17
71,1,34,37,39,35,37,39,35,37,39,37,35,2,2.0,2,30,2
72,1,23,23,22,24,23,22,25,25,24,23,23,0,0.0,0,7,23
73,1,7,8,9,5,6,7,3,4,6,6,3,3,3.0,3,25,29
74,1,27,27,27,28,29,29,30,30,30,29,27,2,2.0,2,45,21
75,1,34,36,38,33,35,37,33,35,37,35,33,2,2.0,2,30,42
76,1,36,37,37,34,35,35,32,33,33,35,33,2,2.0,2,38,33
77,1,0,30,30,0,32,32,0,34,34,32,34,-2,0.0,0,0,19
78,1,25,25,25,25,25,25,25,25,25,25,25,0,0.0,0,22,47
79,1,21,22,23,21,22,23,23,24,25,22,23,-1,0.0,0,36,23
80,1,15,14,14,13,12,12,11,10,10,12,10,2,2.0,2,21,33
81,1,49,48,48,49,48,48,49,48,48,48,48,0,0.0,0,5,46
82,1,49,49,49,49,49,49,49,49,49,49,49,0,0.0,0,42,4
83,1,25,26,27,23,24,25,21,23,24,24,26,-2,0.0,0,35,29
84,1,0,0,0,27,29,30,27,29,30,29,27,2,2.0,2,26,49
85,1,28,28,28,30,30,30,32,32,32,30,32,-2,0.0,0,41,20
86,1,34,37,39,34,36,38,34,36,38,36,34,2,2.0,2,30,45
87,1,2,3,5,3,4,6,5,6,7,4,3,1,1.0,1,25,22
88,1,30,32,34,30,32,34,30,32,34,32,30,2,2.0,2,28,4
89,1,9,11,13,8,10,12,7,9,11,10,8,2,2.0,2,28,28
90,1,41,41,40,43,42,41,44,43,43,42,41,1,1.0,1,6,13
91,1,18,17,16,20,19,18,21,20,19,19,17,2,2.0,2,20,14
92,1,48,49,49,49,49,49,49,49,49,49,48,1,1.0,1,40,1
93,1,46,45,44,46,45,44,46,45,44,45,45,0,0.0,0,9,3
94,1,42,42,42,40,40,41,38,39,39,40,39,1,1.0,1,43,35
95,1,34,33,32,36,35,34,38,37,36,35,34,1,1.0,1,8,16
0,2,49,49,48,49,49,49,49,49,49,49,49,0,0.0,0,4,1
1,2,40,40,39,42,42,41,43,43,43,42,40,2,2.0,4,4,14
2,2,26,26,25,25,25,24,24,24,23,25,25,0,0.0,0,5,27
3,2,47,47,47,47,48,48,48,48,48,48,47,1,1.0,1,42,9
4,2,23,23,22,22,22,21,21,21,20,22,22,0,1.0,1,21,39
5,2,36,34,32,35,33,31,34,32,30,33,30,3,3.0,6,14,39
6,2,27,27,27,26,26,26,25,25,25,26,25,1,1.0,1,45,27
7,2,25,25,25,25,25,25,26,26,26,25,25,0,0.0,0,46,24
