AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
63,1,33,35,37,35,37,39,37,39,41,37,33,4,4.0,4,18,30
64,1,9,11,13,10,11,13,10,12,14,11,13,-2,0.0,0,15,46
65,1,22,20,18,21,19,17,21,19,17,19,17,2,2.0,2,30,9
66,1,3,3,2,2,2,2,2,2,1,2,2,0,0.0,0,43,8
67,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3
68,1,32,32,32,34,34,34,36,36,36,34,32,2,2.0,2,24,35
69,1,25,22,20,26,24,22,28,26,24,24,20,4,4.0,4,32,34
70,1,35,33,31,33,31,29,31,28,26,31,26,5,5.0,5,32,19
71,1,1,2,3,1,2,3,0,0,0,2,1,1,1.0,1,8,0
72,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,4,45
73,1,36,35,34,38,37,36,40,39,38,37,34,3,3.0,3,26,33
74,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,48,6
75,1,3,4,5,3,4,5,3,4,5,4,3,1,1.0,1,10,4
76,1,1,1,1,1,1,1,0,0,1,1,0,1,1.0,1,1,5
77,1,19,18,17,21,20,19,23,22,21,20,18,2,2.0,2,39,31
78,1,10,10,11,12,12,13,14,14,15,12,10,2,2.0,2,6,34
79,1,1,1,2,1,1,1,1,1,1,1,1,0,0.0,0,5,5
80,1,11,12,13,13,14,15,15,16,17,14,11,3,3.0,3,11,35
81,1,24,25,25,24,25,25,24,25,25,25,24,1,1.0,1,23,48
82,1,44,42,40,44,42,40,44,42,40,42,40,2,2.0,2,30,25
83,1,28,29,28,29,30,29,31,31,31,30,28,2,2.0,2,24,38
84,1,36,37,38,38,39,40,40,41,42,39,36,3,3.0,3,22,32
85,1,22,21,21,24,23,23,25,25,24,23,21,2,2.0,2,40,29
86,1,31,33,35,33,35,37,35,37,39,35,31,4,4.0,4,18,31
87,1,11,11,12,9,9,10,7,8,9,9,9,0,0.0,0,8,14
88,1,1,1,0,1,1,0,1,1,1,1,0,1,1.0,1,44,48
89,1,35,33,31,33,31,28,31,28,26,31,26,5,5.0,5,31,18
90,1,0,0,1,0,1,1,1,1,1,1,1,0,0.0,0,3,47
91,1,22,22,22,20,20,20,18,18,18,20,20,0,0.0,0,43,20
92,1,34,36,38,34,36,38,33,35,37,36,34,2,2.0,2,15,24
93,1,25,26,28,27,29,31,29,31,33,29,25,4,4.0,4,15,31
94,1,31,29,27,29,27,25,27,25,23,27,23,4,4.0,4,29,14
95,1,27,29,31,25,27,29,23,25,27,27,29,-2,0.0,0,19,14
0,2,27,25,23,25,23,21,24,22,20,23,23,0,2.0,2,30,13
1,2,4,5,6,4,5,6,4,5,6,5,4,1,1.0,2,11,1
2,2,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,45,6
3,2,18,16,14,17,15,13,17,15,13,15,13,2,2.0,2,32,9
4,2,9,8,6,9,8,6,9,8,6,8,6,2,2.0,2,35,1
5,2,32,30,29,33,31,30,34,32,31,31,29,2,2.5,5,35,27
6,2,27,26,25,29,28,27,29,28,27,28,25,3,2.0,4,38,27
7,2,2,2,3,2,2,3,2,2,3,2,2,0,1.0,1,8,47
8,2,18,20,21,18,20,21,17,20,21,20,18,2,1.5,3,19,1
9,2,11,12,13,13,14,15,15,16,17,14,11,3,3.0,3,11,35
10,2,42,40,38,42,40,38,41,39,37,40,38,2,2.5,5,31,24
11,2,25,25,25,25,25,25,25,25,25,25,25,0,0.0,0,24,46
12,2,8,7,6,9,8,7,11,9,9,8,6,2,2.0,2,38,38
13,2,42,40,38,42,40,38,41,39,37,40,38,2,2.0,4,31,24
14,2,25,25,25,25,25,25,24,24,24,25,25,0,1.0,1,1,24
15,2,29,27,26,30,29,27,31,30,29,29,26,3,3.0,3,36,28
16,2,27,27,27,26,26,26,26,26,26,26,27,-1,1.0,0,24,8
17,2,23,23,23,24,24,24,25,25,25,24,23,1,1.0,2,3,27
18,2,20,20,20,18,18,18,16,15,15,18,15,3,2.5,5,47,19
19,2,32,32,31,34,34,33,36,36,35,34,31,3,3.0,3,25,35
20,2,3,4,5,3,4,5,3,4,5,4,3,1,1.0,2,10,46
21,2,20,22,23,20,21,23,20,21,23,21,20,1,1.5,3,20,2
22,2,25,26,27,23,24,25,21,22,23,24,21,3,2.0,4,11,20
23,2,25,25,25,25,25,25,24,24,24,25,25,0,0.0,0,48,24
24,2,10,10,10,12,12,12,14,14,14,12,10,2,2.0,4,43,34
25,2,13,15,17,13,15,17,12,14,16,15,13,2,2.0,4,16,8
26,2,29,30,32,27,29,31,25,27,29,29,25,4,3.5,7,13,21
27,2,25,25,25,24,24,24,23,23,23,24,25,-1,1.0,0,45,23
28,2,21,23,25,20,22,24,19,21,23,22,19,3,3.0,3,18,12
29,2,14,12,11,13,11,9,12,10,9,11,9,2,2.0,4,35,11
30,2,44,42,40,45,43,41,46,44,42,43,40,3,3.0,6,29,27
31,2,10,8,7,10,8,6,10,8,6,8,6,2,1.5,3,35,5
32,2,36,38,40,37,39,41,38,40,42,39,40,-1,1.0,0,17,27
33,2,50,50,50,50,50,50,50,50,50,50,50,0,1.0,1,24,25
34,2,25,25,25,25,25,25,25,25,25,25,25,0,1.0,1,46,25
35,2,24,24,24,25,25,25,25,25,25,25,24,1,1.0,2,3,26
36,2,5,4,3,5,4,3,5,4,3,4,3,1,1.0,2,38,1
37,2,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,4,46
38,2,38,36,34,38,36,34,37,35,33,36,34,2,2.5,5,33,24
39,2,26,27,27,26,27,28,26,27,27,27,26,1,1.0,1,8,25
40,2,31,32,34,30,31,33,29,30,32,31,29,2,2.5,5,13,23
41,2,33,31,29,35,33,31,37,34,32,33,29,4,4.0,8,32,30
42,2,5,5,6,6,7,7,8,8,8,7,5,2,1.5,3,5,37
43,2,27,27,28,27,28,29,27,27,28,28,27,1,1.0,2,9,25
44,2,46,45,44,48,47,46,49,48,47,47,44,3,3.0,6,26,28
45,2,50,50,50,50,50,50,49,49,49,50,49,1,1.0,2,24,24
46,2,12,11,11,10,9,9,9,8,7,9,10,-1,2.0,1,40,14
47,2,32,32,32,31,31,31,29,30,29,31,29,2,1.5,3,24,13
48,2,0,3,3,0,4,4,0,5,5,4,5,-1,0.0,0,0,39
49,2,23,21,19,22,20,18,21,19,17,20,17,3,3.0,3,31,12
50,2,18,18,18,15,16,16,13,13,13,16,13,3,2.5,5,2,18
51,2,27,27,25,28,28,26,29,29,27,28,25,3,3.0,3,26,39
