24,13,16,19,16,11,12,22,23,8,8,23,23,22,21,12,19,21,23,23,20,14,11,25,24,11,10,12,25,37,42,42,33,10,22,23,8,9,9,8,9,8,25,19,10,38,44,45,45,45
19,8,9,8,21,24,20,22,22,24,19,21,22,12,8,8,9,9,8,8,21,8,22,27,12,14,20,24,10,11,10,11,12,11,22,23,8,8,8,22,21,20,20,24,9,34,43,45,45,45
20,13,8,9,24,19,20,22,19,23,11,10,19,8,9,9,9,9,9,9,21,10,33,38,11,21,8,13,18,22,21,21,20,20,19,22,12,19,22,8,12,12,13,14,9,27,43,44,44,44
9,22,22,23,16,22,24,23,18,9,9,9,22,10,9,8,9,8,8,18,24,17,49,48,15,20,8,9,8,24,22,23,20,11,19,25,27,13,11,32,39,23,9,10,9,24,42,44,42,38
9,11,13,10,9,11,10,10,9,25,38,15,25,21,9,21,23,19,22,25,11,44,42,43,21,25,8,9,8,24,24,9,16,21,18,16,20,28,37,43,49,41,34,33,26,13,9,8,13,25
9,11,18,35,42,43,41,38,40,47,44,31,16,23,23,23,22,20,13,11,37,43,45,44,26,20,20,8,23,25,11,31,43,44,45,45,44,46,46,38,40,49,45,44,40,12,22,11,8,8
14,32,48,46,43,44,46,46,47,47,46,38,7,20,22,22,21,12,11,28,45,44,45,44,20,19,23,22,22,11,23,44,42,45,44,44,44,42,41,25,36,45,43,43,44,10,18,9,8,8
25,39,45,43,44,45,45,42,44,44,48,36,8,21,24,24,21,22,11,41,45,44,44,46,14,24,23,23,21,11,21,41,45,44,43,43,46,41,23,11,24,43,44,45,44,12,16,8,8,8
39,38,49,45,44,45,47,46,44,45,46,36,12,23,8,9,12,20,8,39,44,45,45,41,9,19,19,23,21,12,9,26,41,43,42,38,19,8,22,16,13,41,47,43,44,17,21,9,9,15
48,39,34,38,48,45,46,47,43,45,43,43,9,20,20,12,23,19,10,25,39,40,36,14,25,13,8,8,21,10,9,9,15,17,16,11,20,17,8,18,10,25,46,46,44,20,26,22,19,9
47,46,24,25,38,49,49,46,43,44,44,46,36,9,18,26,19,9,19,35,25,10,9,22,8,8,8,8,20,11,9,11,11,13,10,25,21,8,8,9,26,11,35,45,47,25,8,22,17,20
45,45,40,26,40,44,47,47,44,44,44,43,46,43,42,39,41,42,44,44,39,9,20,10,9,9,9,23,11,20,24,10,23,21,21,25,8,9,9,8,25,12,19,26,37,38,26,11,9,24
44,47,48,42,44,43,44,44,47,47,46,43,45,44,44,44,44,44,45,44,44,8,8,9,9,8,19,8,31,46,42,10,19,9,9,8,9,9,9,18,24,12,9,10,26,48,48,34,11,8
45,47,47,47,42,45,45,43,47,40,39,45,42,44,44,45,45,45,45,44,43,15,8,9,8,22,7,36,44,42,43,18,21,9,9,9,9,11,19,14,12,11,15,10,25,45,47,47,24,10
45,47,47,44,45,45,44,46,34,10,11,22,42,43,44,45,45,45,45,43,37,25,9,9,17,25,13,44,45,44,42,29,25,9,9,8,8,19,11,29,40,25,11,10,25,44,42,45,25,19
46,49,45,43,45,45,43,43,12,10,24,24,9,40,45,45,45,44,42,42,12,22,23,21,15,12,26,46,44,44,42,36,24,10,9,9,8,28,22,45,43,42,25,9,21,46,44,44,32,22
46,38,39,45,46,45,43,23,11,20,21,20,19,16,44,45,44,44,43,13,12,20,23,11,13,28,42,45,43,42,46,30,24,8,9,8,9,27,26,45,44,42,34,9,10,43,44,43,45,7
40,26,25,25,28,26,13,16,23,8,9,19,24,12,44,46,45,43,14,21,19,20,20,10,28,47,49,46,43,37,27,12,23,9,8,17,20,16,23,46,44,43,34,11,10,42,43,44,46,24
43,39,26,13,10,12,19,18,9,9,23,17,23,42,49,48,40,14,23,22,8,12,23,11,24,41,40,24,9,17,26,21,20,25,17,10,10,10,30,46,47,45,29,10,11,40,43,44,43,45
46,48,31,11,21,23,8,9,9,22,10,39,41,42,44,48,27,10,18,9,9,9,24,24,7,15,14,9,19,15,23,22,8,12,21,23,19,25,44,47,44,42,25,8,10,40,47,45,44,45
44,45,28,9,19,9,9,9,12,14,34,42,44,44,45,45,27,9,23,23,21,8,8,9,17,24,24,18,9,9,20,10,21,43,44,46,44,46,48,47,41,26,10,11,10,24,46,44,45,45
44,44,20,23,22,9,9,8,20,11,44,43,45,45,45,42,46,31,12,13,22,19,9,9,9,9,8,8,8,9,24,11,43,43,44,43,46,49,47,41,26,13,12,26,10,23,45,44,45,45
46,41,11,23,22,14,25,21,7,25,48,49,46,43,44,44,43,43,45,25,12,20,9,9,8,8,9,9,8,10,16,24,44,45,44,44,45,44,38,38,26,10,25,22,19,18,43,45,45,45
